rated,variant,speed,status,winner,moves,players.white.user.flair,players.white.user.id,players.white.provisional,players.black.user.name,players.black.user.title,players.black.rating
True,standard,classical,resign,black,d4 Nf6 c4 e6 g3 d5 Bg2 Bb4+ Bd2 Be7 Nf3 Nbd7 Qc2 O-O O-O c6 Bf4 b6 Nbd2 Nh5 Be3 a5 Rfd1 Ba6 Rac1 Rc8 Qb1 f5 b3 Ba3 Rc2 f4 Bxf4 Nxf4 gxf4 Rxf4 Nf1 Qf6 Ng3 Qh6 Rc3 Rcf8 Qc2 Bb7 Re3 Bd6 Rf1 R4f7 Rc3 Nf6 Qc1 Bf4 Qe1 c5 dxc5 d4 Nxd4 Bxg2 Kxg2 Bd2 Qa1 Ng4 Nf3,smileys.disguised-face,mraquariyaz67,True,suniferia,BOT,2922.0
True,standard,classical,mate,black,d4 d5 c4 e6 Nf3 Nf6 g3 Bb4+ Bd2 Be7 Bg2 O-O O-O c6 Qc2 b6 Bf4 Bb7 Nbd2 c5 dxc5 bxc5 cxd5 Nxd5 Nc4 Nxf4 gxf4 Qc7 Nfe5 Bxg2 Kxg2 f6 Nd3 Nc6 e3 Rad8 Rad1 Rd5 Rd2 Qb7 f3 Kh8 Rfd1 Rfd8 b3 Qc7 Qc3 f5 Qc2 Bf6 Nde5 Nb4 Qb2 Kg8 a3 Nc6 Rxd5 exd5 Qc2 Ne7 Nd2 Ng6 Nf1 Bxe5 fxe5 Qxe5 Qxc5 f4 e4 Nh4+ Kh3 Nxf3 Rxd5 Qe6+ Kg2 Ne1+ Kg1 Rc8 Qa5 Qg4+ Ng3 fxg3 Rd8+ Rxd8 Qxd8+ Kf7 Qc7+ Kg6 Qd6+ Kh5 Qd5+ Kh4 hxg3+ Qxg3+ Kf1 Nd3 Qf5 Qe1+ Kg2 Qd2+ Kf1 Kg3 Qg5+ Qxg5 Ke2 Nb2 b4 Qf4 b5 Qf2#,smileys.disguised-face,mraquariyaz67,True,suniferia,BOT,2922.0
True,standard,bullet,outoftime,,e4 g6 d4 d5 Nc3 dxe4 Nxe4 Bg7 Nf3 Nf6 Nxf6+ exf6 Bc4 O-O O-O b6 c3 Bb7 Re1 Nd7 h3 c5 Be3 cxd4 Nxd4 Ne5 Be2 Qc7 Nf3 Rad8 Qc2 Bxf3 Bxf3 Nxf3+ gxf3 Qc8 Kg2 Rd5 Rad1 Rh5 Rh1 Re8 Rd4 Rhe5 Rhd1 h5 Rd5 R5e7 Qd3 Kh7 Rd7 f5 Rxe7 Rxe7 Qd8 Qe6 Rd6 Qe5 Rd5 Qe6 Rd6 Re8 Qd7 Qe7 Qxe7 Rxe7 Bg5 Rc7 Bd8 Rb7 Rc6 Be5 Bf6 Bxf6 Rxf6 Rc7 Rd6 Kg7 f4 Re7 Kf3 Rc7 a4 h4 Rd4 Rc5 Rb4 Rc6 Rb5 Rd6 a5 Rd3+ Kg2 bxa5 Rxa5 Rd7 Ra6 Rc7 b4 Rxc3 Rxa7 Rc4 Rb7 Rxf4 b5 Rb4 b6 g5 Rb8 Rb3 b7 g4 Kh2 Rxh3+ Kg2 Rb3 Kh2 h3 f3 gxf3 Kxh3 Rb2 Kg3 f2 Kg2 f4 Kf1 f3 Rg8+ Kxg8 b8=Q+ Rxb8 Kxf2 Rb6 Kxf3 Rc6 Kg4 Rd6 Kf4 Re6 Kg4 Kf8 Kf4 Ke7 Kf5 Rf6+ Kg4 Ke6 Kg5 Rf5+ Kg4 Kf6 Kg3 Kg6 Kg4 Rg5+ Kf4 f6 Ke4 Rf5 Ke3 Kf7 Ke4 Ke6 Ke3 Re5+ Kd3 f5 Kd4 Re4+ Kd3 Ke5 Kc3 f4 Kd3 f3 Kd2 f2 Kc3,,chessrun800,,mraquariyaz67,GM,3506.0
True,standard,bullet,resign,white,b3 d5 Bb2 Bg4 Nf3 Bxf3 exf3 e6 g3 Nf6 Bg2 g6 O-O Bg7 d4 O-O f4 Nh5 Nd2 c5 Nf3 cxd4 Nxd4 Nc6 Nxc6 bxc6 Bxg7 Nxg7 c4 Nf5 Qc2 Rc8 Rac1 Qf6 Rfd1 d4 c5 Rcd8 Be4 Ne7 Qd3 h5 Rc4 h4 Rxd4 Rxd4 Qxd4 Qxd4 Rxd4 hxg3 hxg3 Nd5 b4 Rb8 a3 a5 Bxd5 exd5 Kg2 axb4 axb4 Kg7 Kf3 Kf6 g4 Ke6 Ke3 Kf6 Kd3 Ke6 Kc3 Ra8 Rd2 Ra3+ Kc2 Rf3 Re2+ Kd7 f5 gxf5 gxf5 Rxf5 Kb3 Rf4 Ka4 Rf3 Ka5 d4 b5 d3 Rd2 cxb5 Kb6 b4 Kb7 Ke6 c6 Kd5 c7 Kd4 c8=Q Rf5 Qxf5,smileys.disguised-face,mraquariyaz67,,Chessrun800,,3151.0
True,standard,bullet,resign,black,e4 g6 d4 d5 Nc3 dxe4 Nxe4 Bg7 Nf3 Nf6 Bd3 O-O Nxf6+ exf6 O-O b6 c4 Bb7 d5 Nd7 Bf4 c6 dxc6 Bxc6 h3 f5 Rb1 Nc5 Bc2 Be4 b3 Re8 Qxd8 Raxd8 Bxe4 fxe4 Nh2 Nd3 Be3 f5 g3 Be5 b4 f4 gxf4 Bxf4 c5 Bxh2+ Kxh2 bxc5 bxc5 Rc8 f3 exf3 Rxf3 Ne5 Rff1 Nd7 Bg1 Nxc5 Rfc1 Ne4 Rxc8 Rxc8 Bxa7 Rc2+ Kh1 Rxa2 Rb8+ Kf7 Rb7+ Ke6 Rxh7 Ng5 Rg7 Nf3 Rxg6+ Kf5 Rg2 Rxa7 Rf2 Kf4 Kg2 Rg7+ Kf1 Rg1+ Ke2 Re1+ Kd3 Kg3 Re2 Rd1+ Ke3 Rd8 Ke4 Re8+ Kd3 Rd8+ Ke3 Ng5 Rd2 Re8+ Kd3 Nf3 Kc2 Nxd2,,chessrun800,,mraquariyaz67,GM,3503.0
True,standard,bullet,resign,white,b3 d5 Bb2 Nf6 Nf3 Bg4 g3 Bxf3 exf3 e6 Bg2 g6 Bxf6 Qxf6 c3 Be7 O-O h5 f4 O-O d4 c5 dxc5 Bxc5 Nd2 Qxc3 Rc1 Qd4 Qe2 Bb4 Nf3 Qf6 Ne5 Bd6 Qb5 b6 Rfe1 Bxe5 Rxe5 Qe7 Bxd5 Nd7 Rc7 Rad8 Bc6 a6 Qxa6 Qd6 Rxd7 Rxd7 Bxd7 Qxd7 Qxb6 Ra8 a4 Qd1+ Kg2 Qd7 Qe3 Qb7+ Qf3 Rb8 Rb5 Qxf3+ Kxf3 Ra8 a5 Kg7 b4 Kf6 Rb7 g5 fxg5+ Kxg5 Rxf7 Kg6 Rb7 Rb8 Rxb8,smileys.disguised-face,mraquariyaz67,,Chessrun800,,3153.0
True,standard,bullet,resign,black,e4 g6 d4 d5 Nc3 dxe4 Nxe4 Bg7 Nf3 Nf6 Bd3 O-O Nxf6+ exf6 O-O b6 c4 Bb7 d5 Nd7 Be3 c6 dxc6 Bxc6 b3 Bxf3 Qxf3 Ne5,,chessrun800,,mraquariyaz67,GM,3501.0
True,standard,bullet,resign,white,b3 d5 Bb2 Bg4 Nf3 Bxf3 exf3 e6 g3 Nf6 Bg2 g6 O-O Bg7 Ba3 Nbd7 d4 Bf8 Bb2 Bg7 f4 O-O Nd2 c5 Re1 cxd4 Bxd4 Nh5 Bxg7 Nxg7 c4 dxc4 Nxc4 Qc7 Rc1 Rab8 Ne5,smileys.disguised-face,mraquariyaz67,,Chessrun800,,3156.0
True,standard,bullet,outoftime,black,e4 g6 d4 d5 Nc3 dxe4 Nxe4 Bg7 Nf3 Nf6 Bd3 O-O Nxf6+ exf6 O-O b6 c4 Bb7 d5 Nd7 b3 f5 Rb1 c6 dxc6 Bxc6 Bb2 Bxf3 gxf3 Bxb2 Rxb2 Ne5 Rd2 Qh4 Be2 Rad8 Rd5 Rfe8 Kg2 h5 Qd2 Rxd5 cxd5 f4 d6 Rd8 Rd1 Qf6 Qd5 Kg7 Bc4 Nd7 a4 Ne5 Qd4 h4 h3 Qg5+ Kf1 Qf6 Ke2 Rd7 Kf1 Nxf3 Qxf6+ Kxf6 Bb5 Rd8 d7 Ne5 Rd5 Ke6 Rd4 Nxd7 Bc4+ Ke7 Rxf4 Ne5 Rxh4 f5 Rh7+ Kf6 Rxa7 Rd1+ Ke2 Rb1 Bb5 Rb2+ Kf1 f4 Kg2 f3+ Kg3 g5 Ra6 Nd7 Rxb6+ Nxb6 a5 Nd5 a6 Rxb3 a7 Ra3 Bc6 Nc7 Bd5 Na8 Bxf3 Rxa7 Kg4 Nb6 Kg3 Nd7 h4 Ne5 hxg5+ Kxg5 Bg2 Ng6 f4+ Nxf4 Kh2 Ra3 Bh3 Nxh3 Kh1 Kg4 Kh2 Ra2+ Kh1 Ra1+ Kh2 Ra3 Kh1 Rb3 Kh2 Rc3 Kh1 Rd3 Kh2 Re3 Kh1 Rf3 Kh2 Rg3 Kh1 Nf4 Kh2 Rh3+,,chessrun800,,mraquariyaz67,GM,3498.0
True,standard,bullet,resign,white,b3 e5 Bb2 e4 d3 Nf6 dxe4 Nxe4 Nd2 Nxd2 Qxd2 d5 Nf3 Be6 e4 Nc6 Bb5 a6 Bxc6+ bxc6 Qc3 Rb8 O-O-O Qf6 Qxc6+ Bd7 Qxc7 Qd8 Qe5+ Be7 Rxd5,smileys.disguised-face,mraquariyaz67,,Chessrun800,,3159.0
