rated,variant,speed,status,winner,moves,players.white.user.id,players.white.rating,players.black.user.title,players.black.user.patron,players.black.user.patronColor,clock.increment
True,standard,bullet,resign,black,d4 c5 Nc3 cxd4 Qxd4 d5 Qxd5 Nd7 Nf3 Ngf6 Qd2 e5 e4 Bb4 Bd3 O-O a3 Ba5 b4 Bb6 Bb2 Re8 O-O Nf8 Rad1 Bg4 Qe2 Ne6 Nd5 Nxd5 exd5 Nf4,thanozz,3040.0,GM,True,1.0,0.0
True,standard,bullet,outoftime,white,Nf3 c5 c3 Nf6 d4 e6 g3 b6 Bg2 Bb7 O-O Be7 Ne5 Bxg2 Kxg2 O-O Re1 d6 Nf3 d5 Nbd2 Nbd7 e4 dxe4 Nxe4 Nxe4 Rxe4 Nf6 Re1 Qc7 Ne5 Rad8 Qf3 cxd4 Nc6 Rd5 Bf4 Qxc6 cxd4 Qd7 Be5 Rd8 Rac1 h6 Rc7 Qe8 Rxa7 Nd7 Bc7 Rc8 Re4 Bf6 Qf4 b5 b4 Rxd4 Rxd4 e5 Qf5 exd4 Bf4 Nf8 h4 Rd8 Qd3 Qc6+ Qf3 Qc4 a3 Ne6 Bd2 d3 Ra8 Qd4 Ra6 Be7 Rc6 Qb2 Bc3 Qb3 Qg4 Qd5+ Qf3 d2 Qxd5 Rxd5 Bxd2 Bd8 Be3 f5 Rc1 f4 gxf4 Kf7 f5 Nd4 f6 Bxf6 Rc7+ Kg6 Rc5 Rxc5 bxc5 Nc6 Kf3 Kf5 h5 Ne5+ Ke2 Nc6 Kd3 Ke5 Bd2 Kd5 a4 bxa4 Kc2 a3 Kb1 a2+ Kxa2 Kxc5 Kb3 Kd5 Kc2,arm-777777,3326.0,GM,,,0.0
True,standard,bullet,resign,black,Nf3 Nf6 d3 d6 Nbd2 Nbd7 e4 e5 c3 Be7 Be2 O-O O-O b5 d4 a6 a4 Rb8 axb5 axb5 Re1 b4 Bc4 bxc3 bxc3 Nb6 Bd3 Nfd7 Qc2 Bf6 Bb2 Re8 Nf1 g6 Ng3 Bg7 h3 c5 dxe5 Nxe5 Nxe5 Bxe5 Bc1 Qh4 Ra7 Be6 Rf1 Nd7 Ne2 c4,thanozz,3044.0,GM,True,1.0,0.0
True,standard,bullet,resign,white,Nf3 d6 e4 e5 Nc3 Nf6 Bc4 Be7 d4 Nbd7 dxe5 Nxe5 Nxe5 dxe5 Qxd8+ Bxd8 Be3 Ng4 Bd2 c6 f3 Nf6 a4 Ke7 a5 Be6 Bxe6 Kxe6 Na4 Be7 Be3 Nd7 Ke2 Bb4 a6 b5 Nc3 Bc5 Nd1 Rhd8 Bd2 f6 Ba5 Nb6 b3 Rd7 Nb2 Bd4 c3 Bc5 Nd3 Bd6 Rhd1 Rc8 Rd2 c5 Nb2 Be7 Bxb6 axb6 a7 Rxd2+ Kxd2 Ra8 Ra6 Bd8 c4 Kd7 cxb5 Kc7 Nc4 Kb7 Nd6+ Kc7 Ne8+ Kb7 Nxg7,arm-777777,3322.0,GM,,,0.0
True,standard,bullet,outoftime,black,Nf3 Nf6 d3 d6 Nbd2 Nbd7 e4 g5 Be2 g4 Ng1 h5 h3 gxh3 Nxh3 Nc5 c3 h4 Bf3 e5 Nb3 Ne6 d4 Be7 d5 Nf8 Be3 Ng6 Na5 c5 Nc4 b5 Nd2 a5 a4 b4 Nc4 Ba6 Be2 Nxe4 Qc2 Nf6 O-O-O Rb8 Ng5 bxc3 bxc3 Nf4 Bxf4 exf4 Rhe1 Kf8 Bf1 Rh5 Nf3 Nxd5 Nce5 dxe5 Bxa6 Qb6 Bb5 Qe6 Bc4 Rd8 Qb3 e4 Nd2 Re5 Nxe4 Rxe4 Rxe4 Qxe4 Rxd5 Qe1+ Kb2 Qxf2+ Qc2 Qxc2+ Kxc2 Rxd5 Bxd5 Kg7 Kd3 f5 Kc4 Kf6 Kb5 Ke5 c4 Bd8 Kxc5 f3 Bxf3 Kf4 Bd5 Be7+ Kc6 Bb4 Kb5 Ke5 c5 Kd4 c6 Bd6,thanozz,3048.0,GM,True,1.0,0.0
True,standard,bullet,outoftime,white,Nf3 Nf6 d3 Nc6 Nbd2 d5 e4 dxe4 dxe4 e5 Bb5 Bd6 Bxc6+ bxc6 O-O O-O Re1 Re8 h3 Ba6 c4 Bc5 Qc2 Qe7 Nb3 Nd7 Bg5 f6 Bd2 Rab8 Nh4 Qf8 Nf5 Be7 Rad1 Nc5 Na5 Rb6 Be3 Bc8 Nxe7+ Qxe7 a3 Ra6 b4 Ne6 Rd2 c5 Qc3 cxb4 axb4 Rd6 Red1 a6 c5 Rxd2 Rxd2 Bd7 c6 Bc8 Nb7 h6 Qc4 Kh7 Qxa6 Rd8 Rxd8 Nxd8 Bc5 Qe8 Qa8 Nxc6 Na5 Nd4 Qd5 Be6 Qb7 Ne2+ Kh2 Nf4 Be3 Qg6 Bxf4 exf4 e5 fxe5 Qf3 Qf5 g4 Qg6 Nc6 Qf6 Qe4+ g6 Nxe5 Kg7 Nd3 Bf7 Qxf4 g5 Qxf6+ Kxf6 b5 Ke6 b6 cxb6 f4 Kd6 f5 Kd5 Nf2 Kd4 Kg3 b5 h4 b4 hxg5 hxg5 Nh3 Bd5 Nxg5 b3 Nf3+,arm-777777,3319.0,,,,0.0
True,standard,bullet,resign,black,e4 d5 exd5 c6 dxc6 Nxc6 Nf3 e5 Nc3 a6 Bc4 Be7 d3 Nf6 Bg5 Bg4 h3 Bh5 g4 Bg6 Nh4 Nd4 Nxg6 hxg6 Bxf6 gxf6 Nd5 b5 Nxe7 bxc4 c3 Ne6 Nc6 Qd5,reluctantcannibal,2991.0,GM,True,1.0,0.0
True,standard,bullet,resign,white,Nf3 Nf6 e4 Nxe4 g4 d5 d3 Nd6 h3 Nc6 Bg2 e5 Nc3 d4 Ne2 Be7 Ng3 Be6 Qe2 f6 c3 dxc3 bxc3 Nb5 Bd2 Qd7 Rb1 Nd6 a4 O-O O-O Rad8 d4 exd4 Rfe1 Bd5 Nxd4 Bxg2 Kxg2 Nxd4 cxd4 Rfe8 Qf3 Bf8 Rec1 c6 d5 cxd5 Ba5 b6 Bb4 Ne4 Bxf8 Kxf8 Nf5 Kg8 Rd1 Qe6 Rbc1 Qe5 h4 h5 gxh5 Nd6 Ng3 Ne4 Nf5 Nd6 Rxd5 Qe4 Rxd6 Rxd6 Qxe4 Rxe4 Nxd6 Rxa4 Nf5 Kf7 Rc7+ Ke6 Nxg7+ Kd6 Ne8+ Ke6 Kg3 a5 h6 Ra3+ f3 Ra1 h7,arm-777777,3315.0,,,,0.0
True,standard,bullet,outoftime,black,e4 d5 exd5 Qxd5 Nc3 Qd8 d4 Nf6 Nf3 g6 Bg5 Bg7 Qd2 h6 Bf4 c6 Bc4 g5 Be5 Nbd7 h4 g4 Bxf6 Bxf6 Nh2 Nb6 Bb3 Qxd4 Qe2 Bf5 Nf1 O-O-O Ne3 e6 Rd1 Qe5 Nxf5 Qxf5 g3 Bxc3+ bxc3 Rxd1+ Qxd1 Rd8 Qe2 h5 O-O Qf3 Qxf3 gxf3 Re1 c5 c4 a5 a4 Rd2 Re3 Kd7 Rxf3 f5 Re3 Kd6 Rd3+ Rxd3 cxd3 Ke7 Bd1 Kf6 Kf1 e5 Ke1 Kg6 Kd2 Nc8 Bf3 Nd6 Bd5 b6 f3 f4 gxf4 exf4 Be6 Kf6 Bd7 Nf7 Be8 Ne5 Bxh5 Kf5 Ke2 Nc6 Bg4+ Kf6 Kf2 Nd4 Bh3 Nc2 Bd7 Nb4 Ke2 Ke7 Bb5 Nc2 Kf2 Nd4 Kg2 Kf6 Kh3 Nxf3 Kg4 Ne5+ Kxf4 Nxd3+ Ke4 Nb4 h5 Na2 h6 Nc3+ Kd3 Nd1 h7 Kg7 Ke4 Nc3+ Ke5 Nxb5 cxb5 Kxh7 Kd5 Kg7 Kc6 c4 Kxb6 c3 Ka7 c2 b6 c1=Q b7 Qc5+,reluctantcannibal,2994.0,GM,True,1.0,0.0
True,standard,bullet,resign,white,Nf3 g6 c4 Bg7 Nc3 Nf6 e4 O-O e5 Ne8 e6 d6 exf7+ Rxf7 h4 Bg4 Be2 Nc6 Ng5 Bxe2 Qxe2 Nd4 Nxf7 Kxf7 Qd1 e5 Ne2 Ne6 d3 c5 h5 Nf6 hxg6+ hxg6 Be3 Ng4 Ng3 d5 Qxg4 d4 Bd2 Qb6 Ne4 Qxb2 Ke2 Nf4+ Kf3 Nxd3 Qd7+ Kf8 Rab1 Qa3 Rb3 Qxa2 Rxb7,arm-777777,3312.0,,,,0.0
