rated,variant,speed,status,winner,moves,players.white.user.id,players.white.rating,players.black.user.flair,players.black.user.id,players.black.rating,players.black.user.title
True,standard,rapid,resign,white,e4 c6 d3 d5 Nd2 e6 Ngf3 Ne7 g3 Nd7 Bg2 g6 O-O Bg7 d4 c5 dxc5 Nxc5 exd5 Nxd5 Nb3 Nxb3 axb3 O-O c4 Nb4 Be3 Nc6 b4 Bxb2 Ra2 Bg7 b5 Ne5 Nxe5 Bxe5 Qxd8 Rxd8 c5 a5 bxa6 Rxa6 Rxa6 bxa6 f4 Bd4 Bxd4 Rxd4 Rb1 Rc4 Rb8 Rxc5 Bb7,just_no_fun,2850.0,nature.whale,konstantinpfennig,2405.0,
True,standard,rapid,resign,black,d4 d6 Nf3 Nd7 e4 e5 c3 Ngf6 Nbd2 Be7 Bc4 O-O O-O c6 Bb3 b5 a4 Bb7 Qe2 a6 Rd1 Qc7 dxe5 dxe5 Bc2 Rfb8 Nf1 Nc5 Ng3 g6 Bg5 a5 Ne1 bxa4 Qf3 Kg7 Nd3 Ne6 Be3 Ba6 Rxa4 Bb5 Raa1 Bxd3 Bxd3 Rxb2 h4 Bc5 h5 Bxe3 fxe3 Ng8 Bc4 Ng5 Qg4 Qe7 Rd7 Nh6 Qd1 Qc5 Qd3 a4 hxg6 hxg6 Rf1 Rf8 Nf5+ gxf5 exf5 Kf6 Rd6+ Kg7 Rxh6 Kxh6 Qd6+ Qxd6,konstantinpfennig,2409.0,smileys.angry-face,just_no_fun,2848.0,
True,standard,rapid,resign,white,c4 g6 d4 Bg7 Nc3 c5 Nf3 cxd4 Nxd4 Nc6 e3 Nf6 Be2 O-O O-O d5 b3 Nxd4 exd4 Bf5 c5 Ne4 Nxe4 Bxe4 Be3 b6 Rc1 bxc5 Rxc5 Bf5 Qd2 Re8 Bb5 Rf8 Bc6 Rc8 Bxd5 Qd6 Rfc1 Rcd8 Ra5 e6 Bf3 Bxd4 Bxd4 Qxd4 Qxd4 Rxd4 Rxa7 Rfd8 h3 Rd2 Rcc7 Rf8 b4 e5 b5 Rb2 Rcb7 e4 Bg4 Bxg4 hxg4 g5 a4 h5 gxh5 g4 Kh2 Rxf2 Kg3 e3 Re7 Re2 b6 Kg7 a5 Kf6 h6 Kg6 h7 f5 Re6+ Kh5 Rf6,just_no_fun,2845.0,,nedamreddam,2546.0,
True,standard,rapid,resign,black,e4 Nc6 Nf3 e5 Bb5 Nf6 d3 Bc5 O-O O-O Bxc6 bxc6 Nxe5 d5 d4 Bd6 exd5 Nxd5 Nc3 f6 Nf3 Nxc3 bxc3 Ba6 Re1 Qd7 Be3 Qf5 Nd2 Rae8 Qf3 Qxf3 Nxf3 Rb8 Reb1 Bc4 Nd2 Bf7 Nb3 Rb6 a4 Rfb8 Nd2 Rxb1+ Rxb1 Rxb1+ Nxb1 Bg6 a5 Bxc2 Nd2 Kf7 Nc4 Be7 Bf4 Bd8 Ne3 Bd3 h4 Ke6 f3 c5 dxc5 c6 a6 Bxa6 Bb8 Ba5 c4 Bc3 Bxa7 Bd4 Kf2 Bxc4 f4 Bf1 g3 Bd3 Kf3 h5 Bb6 f5 Ba7 g6 Bb6 Kd7 Nd1 Kc8 Nf2 Bf1 Nd1 Kb7 Ne3 Bd3 Nd1 Ka6,nedamreddam,2548.0,smileys.angry-face,just_no_fun,2840.0,
True,standard,rapid,resign,white,d4 d5 c4 c5 cxd5 Qxd5 Nf3 cxd4 Nc3 Qa5 Nxd4 Nf6 Nb3 Qc7 e4 Nc6 Bd3 e6 O-O Be7 f4 e5 f5 O-O Be3 Rd8 Qe2 Nd4 Nxd4 exd4 Nb5 Qb6 Bf4 Bd7 Bc7 Qc5 Rac1 Qb4 a3 Qa4 Bxd8 Rxd8 Nc7 Bc6 e5 Nd7 f6 Bf8 Rxc6 Qxc6 Bxh7+ Kxh7 Qh5+ Kg8 fxg7 Bxg7 Qxf7+ Kh8 Ne6 Bh6 Qg6,just_no_fun,2837.0,,nedamreddam,2550.0,
True,standard,rapid,resign,black,e4 c6 d4 d5 e5 Bf5 h4 h5 Bd3 Bxd3 Qxd3 e6 Bg5 Qa5+ Nd2 Qa6 c4 Ne7 Ngf3 Nf5 O-O Nd7 b3 Ba3 Qc2 O-O Nb1 Bb4 a3 dxc4 bxc4 Ba5 Nbd2 Bxd2 Bxd2 c5 d5 Nd4 Nxd4 cxd4 Rfe1 Rac8 dxe6 Qxe6 Rac1 Nb6 c5 Nd7 Bb4 a5 Bxa5 b6 Bd2 bxc5 Qe4 Rfe8 f4 Qb3 Qf5 Qd5 Qxh5 c4 Red1 Nf6 Qf5 Ne4 Bb4 d3 h5 Ng3 Qg4 Qd4+ Kh2 Ne2 h6 Qxf4+ Qxf4 Nxf4 hxg7 Kxg7 Rd2 Rh8+,nedamreddam,2552.0,smileys.angry-face,just_no_fun,2832.0,
True,standard,rapid,resign,white,d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 Na4 Nb6 e4 Bg7 Be3 O-O Nf3 Bg4 Nc5 Nc6 Nxb7 Qc8 Nc5 Bxf3 gxf3 Nxd4 Bxd4 Rd8 e5 Bxe5 Bxe5 Rxd1+ Rxd1 Qf5 f4 Qc2 Bg2 c6 Ne4 Nd5 O-O f6 Nc3 Nxc3 Bxc3 Qa4 Rd7 Kf8 Re1 Re8 a3 a5 Ra7 Qxf4 Bxa5 e5 Rxh7 Kg8 Rh3 Kg7 Bc3 Rd8 Bxc6 g5 Be4 Qg4+ Rg3 Qh4 Bf5 Qf4 Be4 Re8 h3 f5 Rf3,just_no_fun,2828.0,,nedamreddam,2554.0,
True,standard,rapid,mate,black,e4 c6 Nf3 d5 d3 g6 e5 Bg7 d4 f6 Be2 Nh6 O-O O-O c4 fxe5 Nxe5 Nd7 f4 Nxe5 dxe5 d4 Bd3 Bf5 Qc2 g5 Na3 c5 Bd2 gxf4 Bxf4 Qb6 Bxh6 Bxd3 Qxd3 Qxh6 Rae1 Rxf1+ Qxf1 Rf8 Qe2 Qf4 g3 Qf5 Nb5 d3 Qg2 a6 Nc3 Bxe5 Qd5+ Rf7 Qxe5 d2 Qb8+ Kg7 Rd1 Qf2+ Kh1 Qe1+ Kg2 Rf2+ Kh3 Qe6+ Kh4 Rxh2+ Kg5 h6+ Kf4 Rf2#,nedamreddam,2556.0,smileys.angry-face,just_no_fun,2823.0,
True,standard,rapid,resign,white,d4 d5 c4 c5 cxd5 Qxd5 Nf3 cxd4 Qxd4 Nf6 Nc3 Qxd4 Nxd4 a6 g3 e5 Nb3 Nc6 Bg2 Bb4 O-O Bxc3 bxc3 O-O Ba3 Rd8 Rfd1 Bg4 Kf1 Rxd1+ Rxd1 Rc8 Nc5 Na5 Nxb7 Nc4 Bb4 h5 Nd6 Nxd6 Rxd6,just_no_fun,2818.0,,nedamreddam,2558.0,
True,standard,rapid,mate,black,e4 c6 d4 d5 f3 e6 Bd3 c5 c3 Nc6 Ne2 Nf6 e5 Nd7 Be3 Qb6 Qd2 c4 Bc2 Qxb2 O-O Qxa1 Ba4 b5 Bxb5 Rb8 Na3 Bxa3 Rxa1 Rxb5 Qc2 Nb6 Rb1 Rxb1+ Qxb1 Bd7 Nf4 g6 h4 Kd8 h5 Kc7 h6 Rb8 Qe1 Na4 Nh3 Nxc3 Qxc3 Bb2 Qc2 Nxd4 Qd1 Nf5 Bxa7 Rb7 Qc2 Bxe5 f4 Bf6 Bf2 Rb2 Qc1 Rxa2 Kh2 Nxh6 Qb1 Ng4+ Kg3 Ra3+ Kxg4 h5#,nedamreddam,2560.0,smileys.angry-face,just_no_fun,2812.0,
